customer_id,full_name,email,phone,city,annual_income,segment
CUST100000,Priya Gupta,arjun.kulkarni621@example.com,0684040861,Calcutta,448792,Luxury
CUST100001,Vihaan Patel,sachin.reddy907@yahoo.com,9686322281,Mumbai,123061,Premium
CUST100002,Anaya Khan,sachin.sharma224@example.com,0504904134,Chennnai,165992,Mid
CUST100003,Kabir Sharma,arjun.khan768@gmail.com,8970484615,Nodia,207837,Luxury
CUST100004,Mira Patel,kabir.kulkarni927@yahoo.com,5346890235,Noida,101382,Luxury
CUST100005,Mira Sharma,priya.nair163@example.com,4313126075,Chennai,162957,Mid
CUST100006,Anaya Iyer,arjun.chopra329@outlook.com,9991978864,Surrat,162668,Luxury
CUST100007,Vihaan Nair,rohan.reddy at yahoo.com,3463715395,Delhi,56793,Mid
CUST100008,Viahan Iyer,anita.kapoor194@example.com,5757669184,Mumbaai,299717,Mid
CUST100009,Sneha Singh,vivaan.kulkarni954@gmail.com,4983369605,Jaipur,233351,Luxury
CUST100010,Anaya Nair,diya.sharma137@yahoo.com,7714741631,Bangalore,111831,Luxury
CUST100011,Ishaan Patel,vihaan.chopra876@example.com,8864594907,Gurgaon,146836,Luxury
CUST100012,Kabir Khan,,2435683504,Gurugram,220396,Premium
CUST100013,Vivaan Nair,diya.chopra188@example.com,7005031708,Chennai,139133,Luxury
CUST100014,Anita Reddy,kabir.kapoor at yahoo.com,8136268491,Surat,140695,Mid
CUST100015,Priya Das,sachin.nair60@outlook.com,6636193737,Gurugram,,Budget
CUST100016,Sachin Khan,arjun.nair635@gmail.com,6975914144,Gurugrm,227010,Premium
CUST100017,Ishaan Agarwal,anita.agarwal57@outlook.com,8717477497,Pune,175313,Luxury
CUST100018,Vivaan Nair,sneha.singh609@gmail.com,6239004381,Pune,191890,Luxury
CUST100019,Anita Mehta,,9819240140,Jaypur,65126,Mid
CUST100020,Sachin Kapoor,priya.reddy749@example.com,6877691577,Ahmedabad,438195,Budget
CUST100021,Vivaan Patel,vivaan.kulkarni33@example.com,9983902682,Chennnai,178546,Luxury
CUST100022,Ishaan Chopra,kabir.iyer at gmail.com,7374799974,Jaipur,129019,Budget
CUST100023,Ainta Singh,anita.das686@yahoo.com,6382146086,Delhi,549873,Luxury
CUST100024,Priya Khan,rohan.khan829@gmail.com,5465675749,Chennnai,158383,Luxury
CUST100025,Anita Nair,rohan.mehta529@outlook.com,6526173231,Hyderbad,68159,Mid
CUST100026,Vivaan Kulkarni,anaya.das617@example.com,1522644499,Hyderabad,127626,Luxury
CUST100027,Rohan Das,ishaan.reddy423@yahoo.com,5983309426,Jaypur,,Luxury
CUST100028,Vivaan Sharma,anita.sharma19@example.com,0175214724,Surat,305479,Luxury
CUST100029,Sneha Reddy,priya.khan92@example.com,,Gurgaon,126768,Luxury
CUST100030,Sachin Kapoor,vivaan.das893@yahoo.com,7070032723,Hyderbad,104242,Budget
CUST100031,Rahul Sharma,anita.agarwal82@outlook.com,8526221337,Poona,309738,Budget
CUST100032,Rahul Gupta,sachin.sharma275@example.com,9594551267,Jaypur,60437,Luxury
CUST100033,Anita Sharma,kabir.nair153@outlook.com,1782997036,Gurugram,224416,Budget
CUST100034,Sneha Gupta,anaya.das540@outlook.com,6713918059,Calcutta,,Budget
CUST100035,Arjun Singh,anaya.shah60@yahoo.com,2795937093,Nodia,109393,Mid
CUST100036,Anita Patel,sneha.iyer302@example.com,9934851148,Gurugrm,79021,Budget
CUST100037,Arjun Shah,ishaan.kapoor327@gmail.com,1946530926,Kalkata,391283,Premium
CUST100038,Diya Kulkarni,sachin.khan804@yahoo.com,6571660735,Bengaluru,,Mid
CUST100039,Rohan Agarwal,anita.khan742@gmail.com,4707906361,Hyderbad,133566,Premium
CUST100040,Rahul Reddy,aditi.reddy845@outlook.com,6506947898,Pune,269531,Budget
CUST100041,Aditi Gupta,sneha.iyer199@example.com,9377748837,Noida,146094,Premium
CUST100042,Diya Iyer,sneha.shah417@gmail.com,9585963090,Chennai,228853,Mid
CUST100043,Aarav Das,sneha.kapoor158@yahoo.com,2972399544,Noida,103601,Budget
CUST100044,Ishaan Kapoor,ishaan.nair701@yahoo.com,2488857722,Nodia,58396,Premium
CUST100045,Diya Singh,priya.mehta840@yahoo.com,0568086021,Calcutta,55168,Luxury
CUST100046,Priya Gupta,ishaan.khan644@outlook.com,7519202937,Noida,204817,Budget
CUST100047,Vihaan Das,priya.chopra611@outlook.com,8706040974,Jaipur,626909,Premium
