broker_id,broker_name,experience_years,rating,experience_level,city_avg_rating,city_Ahmedabad,city_Bangalore,city_Bengaluru,city_Bengluru,city_Calcutta,city_Chennai,city_Chennnai,city_Dehli,city_Delhi,city_Gurgaon,city_Gurugram,city_Gurugrm,city_Hyderabad,city_Hyderbad,city_Hydrabad,city_Jaipur,city_Jaypur,city_Kalkata,city_Kolkata,city_Mumbaai,city_Mumbai,city_Mumbay,city_New Delhi,city_Nodia,city_Noida,city_Poona,city_Pune,city_Punna,city_Surat,city_Surrat,agency_Homenest,agency_Prophub,agency_Propsquare,agency_Skyline Realty,agency_Urbankeys
BRK50000,Priya Shah,5.0,4.1,Junior,3.8086956521739133,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
BRK50001,Rohan Agarwal,5.0,3.8,Junior,3.9384615384615387,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BRK50002,Kabir Sharma,5.0,4.4,Junior,3.914285714285714,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
BRK50003,Sachin Nair,7.0,4.3,Mid,3.78421052631579,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
BRK50004,Arjun Shah,3.0,3.5,Junior,3.9761904761904763,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
BRK50005,Sneha Mehta,10.0,2.6,Mid,3.65,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
BRK50006,Vivaan Mehta,9.0,4.5,Mid,3.905882352941177,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
BRK50007,Rohan Kapoor,16.0,4.1,Senior,3.5869565217391304,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BRK50008,Rahul Kapoor,6.0,3.3,Mid,3.5869565217391304,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
BRK50009,Vivaan Sharma,13.0,3.4,Senior,3.6260869565217395,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BRK50010,Rohan Singh,4.0,2.9,Junior,3.2125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
BRK50011,Arjun Iyer,2.0,2.9,Beginner,3.5869565217391304,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
BRK50012,Rohan Gupta,3.0,4.2,Junior,3.738095238095238,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
BRK50013,Mira Das,5.0,3.9,Junior,3.914285714285714,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
BRK50014,Kabir Sharma,9.0,4.2,Mid,3.8041666666666667,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
BRK50015,Kabir Iyer,6.0,3.6,Mid,3.8086956521739133,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
