deal_id,deal_date,customer_id,broker_id,property_id,offer_price,final_price,mortgage,loan_rate,status,close_date,channel,lead_source,notes_freeform,price_band,full_name,email,phone,city,annual_income,segment,broker_name,agency,experience_years,rating,city_broker,city_property,neighborhood,property_type,bedrooms,bathrooms,area_sqft,year_built,parking,furnishing,latitude,longitude,listing_price,status_property,amenities,age_years,condition,hoa_fee,energy_rating,school_score,walk_score
DEAL300000,2022-07-10,CUST103914,BRK50481,PROP202034,3931599,4196995.0,Yes,10.59,Pending,2023-10-11,Referral,Billboard,urgent,Mid,Rahul Kulkarni,rohan.patel599@yahoo.com,293568052.0,Surat,170957.0,Mid,Anita Sharma,HomeNest,1.0,3.7,Jaipur,Jaipur,DLF Phase 3,Studio,1.0,1.0,1583,1991.0,No,Unfurnished,16.791623,76.442946,4169148,Active,"Power Backup, Play Area",30.0,Needs Renovation,3233.0,F,79.0,64.0
DEAL300001,2023-11-19,CUST102593,BRK50184,PROP200094,11631261,11190474.0,Yes,9.6,Closed,2024-01-16,Walk-in,Newspaper,ok,High,Rohan Patel,ishaan.chopra631@yahoo.com,752237645.0,Hyderabad,188657.0,Luxury,Vivaan Khan,PropHub,7.0,4.2,Bangalore,Surat,Satellite,Penthouse,2.0,3.0,643,1980.0,Covered,Furnished,26.517421,82.643853,12440134,Withdrawn,"Gym, Garden",18.0,New,1937.0,D,81.0,58.0
DEAL300002,2023-02-01,CUST102931,BRK50215,PROP203518,6842931,6762374.0,Yes,10.84,Closed,2023-03-27,Email Campaign,Website,urgent,Mid,Anita Sharma,rohan.khan302@gmail.com,1420570978.0,Ahmedabad,104037.0,Budget,Rohan Chopra,UrbanKeys,11.0,3.6,Gurugram,Noida,T Nagar,Plot,1.0,1.0,670,1987.0,No,Unfurnished,20.216298,80.270368,7010839,Under Offer,"Security, Lift",13.0,Needs Renovation,1427.0,B,55.0,42.0
DEAL300003,2020-08-01,CUST100630,BRK50338,PROP205572,12499576,12126444.0,Yes,10.32,Pending,2023-10-11,Referral,Broker Referral,see email,High,Sachin Das,kabir.mehta at yahoo.com,6748633632.0,Hyderabad,141126.0,Premium,Rahul yIer,PropHub,6.0,3.7,Kolkata,Bangalore,DLF Phase 3,Plot,1.0,1.0,1575,1995.0,Street,Furnished,15.413753,79.267106,13763841,Active,"Club House, Garden, Gym, Intercom, Power Backup",28.0,Good,3388.0,A,60.0,30.0
DEAL300004,2023-03-28,CUST101138,BRK50299,PROP207772,6100539,6206329.0,Yes,9.52,Pending,2023-10-11,Email Campaign,Google Ads,urgent,Mid,Diya Reddy,arjun.nair at gmail.com,7858442154.0,Kolkata,111136.0,Mid,Sneha Kulkarni,CityHomes,5.0,3.9,Pune,Pune,Sector 62,Penthouse,4.0,2.0,1855,1988.0,Covered,Furnished,18.795549,74.57753,6058719,Active,"Power Backup, Gym, Wifi, Club House",7.0,Old,2031.0,F,93.0,50.0
DEAL300005,2020-01-24,CUST101636,BRK50181,PROP203605,11421735,12227959.0,Yes,9.88,Closed,2020-03-25,Social Media,Billboard,urgent,High,Vivaan Kapoor,aditi.singh804@outlook.com,3929592116.0,Pune,102259.0,Premium,Vihaan Patel,HomeNest,3.0,3.3,Noida,Kolkata,DLF Phase 3,Studio,1.0,3.0,945,1990.0,Yes,Unfurnished,24.443251,75.318588,12647488,Under Offer,"CCTV, Power Backup, Parking, Pool",35.0,Old,1831.0,C,70.0,64.0
DEAL300006,2024-09-11,CUST101319,BRK50288,PROP204787,5419149,5272019.0,No,9.77,Closed,2024-10-11,Walk-in,Facebook,urgent,Mid,Rahul Nair,arjun.gupta26@outlook.com,1850916762.0,Pune,183732.0,Luxury,Anita Patel,Skyline Realty,3.0,4.1,Noida,Surat,Indiranagar,Studio,3.0,1.0,1362,1980.0,Yes,Unfurnished,15.677936,87.142963,5188829,Active,"Parking, Play Area",2.0,New,904.0,D,83.0,92.0
DEAL300007,2018-03-06,CUST100684,BRK50284,PROP207676,10942104,10956635.0,Yes,9.23,Pending,2023-10-11,Online Portal,Facebook,ok,High,Priay Chopra,priya.sharma21@example.com,5662913724.0,Pune,111082.0,Budget,Vivaan Chopra,UrbanKeys,6.0,3.7,Kolkata,Delhi,Sector 62,Row House,3.0,2.0,558,2019.0,Covered,Unfurnished,28.520876,81.543614,12079075,Active,"Garden, Lift",28.0,Old,2669.0,F,58.0,64.0
DEAL300008,2019-03-15,CUST102660,BRK50195,PROP202272,12100723,12103326.0,No,9.59,Closed,2019-04-30,Referral,Broker Referral,urgent,High,Anita Mehta,vihaan.das475@example.com,5083858341.0,Delhi,150607.0,Luxury,Ishaan Agarwal,Skyline Realty,2.0,3.6,Chennai,Mumbai,Satellite,Apartment,1.0,2.0,624,1983.0,Yes,Unfurnished,25.227795,88.26402,12792012,Withdrawn,"Power Backup, Club House, Parking, Garden, Gym",11.0,Old,1023.0,E,71.0,63.0
DEAL300009,2022-05-16,CUST104129,BRK50331,PROP202173,3560548,3409918.0,Yes,10.91,Pending,2023-10-11,Email Campaign,Website,urgent,Mid,Anaya Das,ishaan.reddy720@yahoo.com,7796371108.0,Jaipur,96598.0,Premium,Rohan Shah,CityHomes,3.0,4.5,Noida,Pune,T Nagar,Studio,3.0,4.0,888,1985.0,Covered,Furnished,12.876211,80.08247,3641877,Under Offer,"Parking, Intercom, Garden, Power Backup, Club House",20.0,Old,3425.0,D,70.0,31.0
